iter	Passed	Remaining
0	1	196
1	3	176
2	5	162
3	5	143
4	7	135
5	8	128
6	9	124
7	10	122
8	11	118
9	12	115
10	14	113
11	15	113
12	16	111
13	17	109
14	19	108
15	20	107
16	21	105
17	22	102
18	23	100
19	24	98
20	25	97
21	26	95
22	28	94
23	29	92
24	30	91
25	31	90
26	32	88
27	34	87
28	35	86
29	36	84
30	37	83
31	38	81
32	39	80
33	40	78
34	41	77
35	42	76
36	43	74
37	45	73
38	46	72
39	47	70
40	48	69
41	48	67
42	50	66
43	51	65
44	52	64
45	53	63
46	54	61
47	55	60
48	56	58
49	57	57
50	58	56
51	59	55
52	60	53
53	61	52
54	61	50
55	62	49
56	63	47
57	64	46
58	65	45
59	66	44
60	66	42
61	67	41
62	68	40
63	69	39
64	70	37
65	71	36
66	72	35
67	72	34
68	73	33
69	74	31
70	75	30
71	75	29
72	76	28
73	77	27
74	78	26
75	79	25
76	79	23
77	80	22
78	81	21
79	82	20
80	83	19
81	83	18
82	84	17
83	85	16
84	86	15
85	86	14
86	87	13
87	88	12
88	89	11
89	89	9
90	90	8
91	91	7
92	92	6
93	93	5
94	93	4
95	94	3
96	95	2
97	95	1
98	96	0
99	97	0
